,price
10501,1171500
4850,3443000
10508,1188500
7811,2365219
18064,943700
20831,1365000
4113,2523000
12137,1344000
20263,1883200
8037,1799000
12291,1469000
5963,1470600
15825,2200000
22486,1119000
9150,738000
3481,1400000
10904,1611000
1357,1080000
10804,2164000
11458,1930000
4743,4372246
16306,1610000
17273,1350000
3354,2996000
9189,1495500
1321,2149000
17920,1203268
21565,1615000
20538,1724000
15991,1238000
3485,1786000
18274,1114000
1905,1270000
4007,2090000
15073,1218000
5706,1797400
1133,2179000
23246,1900000
7713,6948000
16441,1550000
13722,1300860
11898,1314000
3672,888888
3721,1080000
6293,1193000
10930,2073000
14980,1112000
15895,1218000
1396,1140000
9863,1214000
4154,1245000
17206,1191588
11514,1625000
20949,2750000
12578,1316000
1739,1890000
22876,808800
7097,1185000
20967,2015000
20779,1800000
9541,1158000
21781,4700000
9401,1167000
11940,1224000
11467,1410000
261,1440000
4192,1918000
4548,1735800
1305,2500000
891,840000
6455,1471000
2226,1088000
1323,1100000
18200,2013000
6826,1232000
19043,1600000
1838,2495000
9092,1773000
17415,990000
23603,1330000
5652,1094400
15931,1690000
387,1500000
9559,1465000
11868,1345000
8246,2450000
1358,1700000
16660,1159066
5549,14500000
19556,1700000
2448,960000
841,1110000
20786,1306000
15399,1798000
13194,2305600
22170,1878888
19048,1545000
15175,1494000
21643,4000000
19939,775720
4446,9888000
14724,1200000
7725,5278740
10551,2761000
10500,1521000
4539,910000
140,1614900
22397,1942000
19663,1670000
15545,1260000
6285,2344000
12635,2188000
20164,1295190
10543,1286500
2065,1238888
9665,1465000
3376,1360000
1444,1386200
1372,1170000
2753,1674000
9458,1462000
16946,1127195
3335,1017000
16036,3830000
15712,1530000
19380,2608650
4609,908000
6983,1211000
22484,1155000
10182,1738500
10029,1209000
20539,983000
14884,1780000
505,3300000
17430,1160919
3836,555000
1047,1260000
11505,1295000
6790,1620000
21593,2011280
18195,2024000
6815,1227000
23218,1810000
16340,2080000
9976,1994000
6842,1756000
8715,809000
19918,842400
11140,2728000
12257,1253000
7809,1723739
11293,3045000
7551,2446844
14055,1546000
20333,1870400
2906,998000
9889,1460500
5277,2200000
15723,1121000
15755,1188000
5168,1538000
11096,2339000
9325,885500
22906,4850000
11993,1472000
17960,1559000
12403,1693000
20366,2121600
4325,1150000
14091,1280000
6646,1765000
9651,735000
1705,2230000
2856,1690000
6624,1822000
13765,1241460
476,3349500
15355,2092000
18654,1012400
12633,2330000
19679,695200
1479,1510800
13570,1849320
7359,1067000
22421,1264000
12514,2214000
13420,1128000
3493,1229000
1314,1808000
1833,2443000
2777,2445300
23540,2200000
10803,2164000
4904,4186000
553,3954000
5112,4720000
11222,3025000
19910,1376800
20300,988800
22461,1209000
19507,1045000
13292,1646000
10941,2867000
1266,1930000
9363,1183000
22548,2000790
13593,1991880
14717,1330000
3156,899000
19677,804000
7536,2592100
16463,2275120
11625,1379000
16015,1160000
3242,1132000
21115,3094000
18414,1481800
12283,3379000
12699,1464000
16490,838000
15975,1840000
10743,2116000
8857,1092000
13311,938000
16239,2170000
22107,2050000
22023,678000
1335,1440000
8124,2280000
2872,908000
9016,1470000
5934,962000
16693,1309497
17945,995860
14657,1348000
12965,1459000
7525,2769085
1991,2200000
2536,1818000
15446,1100000
10915,1238000
21801,3000000
14405,2961000
17880,1121000
5170,1550000
6700,1147000
15109,1610000
11526,1302000
12211,1292000
5883,1168200
17135,1174727
20253,1629720
5998,1600000
5570,1005000
1101,2228000
13241,3592000
6223,873000
4819,3155200
4441,3180000
14340,2800000
19472,2125000
18599,1179900
23230,1928000
1957,2143000
9413,2837888
18118,1035000
15340,926000
21050,2640000
5182,1450000
10864,2111000
3528,1507000
3025,1388888
10316,1199500
15909,1702000
2699,1550000
3337,1630000
810,1264000
22538,1351000
13235,2448000
18873,1667000
4126,3150000
3011,1880000
10711,2910000
12840,3991000
22861,1100000
5663,1199100
6434,1610000
3336,827000
8852,1112000
11985,1424000
23103,3580000
20156,936440
18179,1742000
20788,1337000
11195,2788000
5195,2250000
15824,835000
10013,1096000
2129,1580000
2414,1288880
2794,1649340
22449,1175000
15509,2250000
592,1613000
16290,1468000
2684,2199000
16205,3200000
6328,1276000
14714,1000000
11213,2726000
1601,1630000
3965,2080000
5421,1438000
13887,2847240
6557,868000
20599,1818000
13246,2348800
6415,1155000
18578,1756700
20318,986400
20319,1568800
3415,888000
7735,2427639
10351,1611000
169,2307300
7656,7041870
8366,890000
19211,1920000
18828,1211100
5253,3080000
13533,2301750
10633,1200000
17050,881600
21075,1988000
9897,1133000
579,1598000
6307,1202000
2455,1030000
15889,2427000
18698,1682500
11354,2350000
137,1857200
5129,3258000
12998,1455000
11339,1920000
17467,980000
17701,2797988
10126,738000
22996,1588000
11374,1700000
15478,1830000
16741,925389
4337,1920000
1029,1325000
8318,2410000
11299,4480000
1112,2577000
6535,1257000
5459,1100000
22951,555000
21284,1126000
12691,5572000
1397,1150000
11187,3040000
8141,1168888
5337,1190000
3910,1055000
11839,1342000
21122,2771000
6340,2308000
17195,1203121
14020,1593000
13651,1260270
8342,900000
23666,1800000
19371,2675000
10746,2095000
2495,1350000
13852,1557270
746,1257000
22141,3808550
18470,1890000
2701,1545000
15907,1675000
19549,2220000
3669,1889088
8477,1389000
21236,1205000
17975,1608000
6517,1257000
4629,1438000
17002,1301953
11119,2521000
9568,1153000
19458,1561000
13342,1898000
23674,1600000
5843,1537500
5282,2418800
11584,1009000
9598,2181000
381,1280000
11791,2038000
13940,2701710
1676,1258000
714,1176000
2678,5000000
9892,1737500
17485,984000
16937,1311998
18029,1224000
20596,992000
12036,2426000
3438,812000
15537,1708000
21700,1760000
3824,2338000
10333,1148500
1586,1510000
6,4600000
2743,1629000
22109,1670000
7093,1190000
22932,770000
22878,1300000
19379,2157000
20052,1792000
19074,2320000
11405,2588000
22262,5273800
3569,2898000
10368,1462000
13685,1217700
20363,3379200
17253,1951000
21255,1411396
21079,2316000
18331,1662695
7858,3740000
11323,1538000
1023,1839000
888,1921000
18872,1742000
8588,1116000
11416,1300000
15568,1900000
7542,2758000
16970,1136952
11623,1282000
14497,1711320
