,price
6831,1221000
7517,2988000
19059,1540500
21191,1196800
15238,1358000
18106,1660000
15692,1504000
18846,1623000
5761,1202300
548,3350000
11355,2080000
19924,700800
14533,2515550
15738,1487000
3944,15800000
11863,1622000
4308,1528000
9757,1149000
5869,1426200
21598,1550000
20274,927420
9431,839000
14181,8902300
15978,1828000
448,1720000
14428,2452000
12475,1278000
12230,1495000
7535,4336000
20504,1341000
7365,1401000
9392,1689000
1127,1998000
20278,744800
4407,775000
1799,3440000
19616,1560000
15611,1081000
2387,1180000
14978,971000
11066,1219000
5648,1223500
14897,1354000
23402,1628000
6066,2122000
3512,1455000
7000,1239000
17196,1199820
10653,1606000
7816,1711255
17603,1228000
8131,1260000
5758,1250700
4288,1790000
6695,952000
12850,3712000
20202,905280
16276,1030000
19410,1368000
7802,1783277
16657,1190287
3260,890000
11025,1712000
8273,2480000
23281,2210000
14335,2450000
2840,1320000
17021,1298282
2615,1960000
8369,3588000
8421,1456000
3560,3268000
19024,1200000
14106,1265000
4081,980000
1511,1530900
20787,1180000
5858,1279800
5281,775000
16437,5900000
12960,1564000
7215,1047000
11886,1400000
22552,1311000
16330,1550000
473,1888000
7021,1546000
1846,2259000
17360,1209000
15388,1923000
9015,1470000
8948,1715000
10034,1200000
18829,1069860
5825,1274900
22246,5348888
1851,1834000
7157,1403000
22707,1570000
1681,1739888
1452,1865000
17790,1984000
13294,1880000
20399,1275000
19180,1980000
13692,2784870
11217,2720000
22898,980000
16240,2250000
299,8800000
1107,2563000
850,1628000
9320,1171000
15953,1218000
10950,2486000
2246,1058000
10319,1196500
6383,796000
6086,2274000
14786,1300000
9561,1770000
8,3450000
16130,1438000
5367,710000
10069,842000
4040,1440000
13110,2468000
7791,2959000
16949,1142806
16078,2554000
17005,1309690
17423,1207270
14864,1260000
12549,1315000
5101,3750000
18607,1071500
3097,1625000
13182,5536000
12020,1772000
22474,1740000
14213,2650000
23465,1775000
13987,1401000
12587,5620000
12528,1263000
3657,2952000
15141,953000
15536,1538000
16987,1265550
20130,1870420
15460,1155000
20761,1052000
13441,2008000
8981,1624000
13597,1858230
5973,1856800
9660,1152000
18854,1950000
5632,998300
12894,1248000
20862,1088000
17184,1616060
22455,1045000
5786,1856800
17493,1574000
17996,963800
13172,2326400
13024,1296000
20550,1362000
12484,1300000
3087,1968000
11830,1326000
2478,1700000
5431,1300888
9962,1768000
12309,3044000
21957,1953900
16283,1570000
14987,1070000
8455,1235000
15291,874000
16092,2603000
831,1175000
16096,2579000
19865,876420
12281,1984000
6180,1483000
23503,33300000
1928,2480000
1370,3300000
3090,1630000
17366,1331687
14920,1176000
22228,7000000
10684,1272000
13953,5174730
10462,1182500
1916,3888000
19651,2120000
18885,2115000
19100,1480000
10493,1608000
11932,2036000
21853,4039999
8689,1252000
11235,3100000
3619,2949000
7425,1348000
5987,2500000
20242,940800
8917,1225000
20915,2986000
7180,1311000
1976,2354220
2309,1155000
3549,1425000
1766,1489000
7150,1321000
13167,1434000
4907,2800190
17057,871309
5164,1550000
16503,1400000
10890,1747000
4638,1385000
11474,5050000
8237,2170000
15303,2065000
1655,1610000
2861,850000
8801,1446000
11495,4000000
3322,963000
9357,823000
19553,3350000
5903,1476900
3861,500000
8063,1650000
4812,1512630
2126,1520000
21482,1996554
11727,1702000
2088,1145000
981,980000
15580,1316300
12623,1522000
12117,1523000
5267,1731180
800,1313000
11719,1330000
15846,1155000
13405,938000
3290,1875000
23620,2250000
22418,1254000
12196,2409000
1516,1500000
8530,1444000
1781,1040000
14782,1215000
14883,1360000
21931,8194000
11203,1938000
12783,1315000
2432,1055000
6856,2046000
20911,1535000
20186,916760
11643,927000
14833,3200000
16635,1228214
6584,942000
3217,1292000
7666,2841000
14752,990000
22989,1480000
13630,1977030
18867,3109200
796,1205000
20995,3017000
20929,1750000
10342,1207500
13338,1377000
12729,2768000
5309,725000
9314,1098000
12295,2113000
3101,2430000
22670,649500
8276,1630000
15178,1044000
6693,2274000
26,3178150
12596,1557000
13028,1371000
3099,1500000
12754,2242000
16143,1570000
16995,1267691
12769,2324000
5700,1002000
16695,1344281
9504,1359000
10575,1618000
15947,1742000
7596,4411074
13797,1610730
15262,923000
15654,1475000
12377,1190000
5118,4758000
2231,1068000
20750,1160000
14477,1170000
1590,1210000
19417,1578000
6472,1394000
13257,883000
11325,1480000
11438,2380000
1592,1550000
8637,1119000
1082,2203000
21617,1651000
3221,822000
7852,2753190
17235,1218000
18860,1750000
3546,1646000
19012,940000
6867,947000
6512,1474000
20495,1873000
2713,2150000
11520,1446000
14532,2480000
16557,899797
23145,3518000
14409,1887000
1904,1783000
5725,1729800
8260,952000
17758,1092000
434,1238000
4856,2270000
23208,1388000
8986,1381000
2834,1705000
2203,1090000
3445,823000
19058,1530000
22172,1438000
6962,1407000
15863,1677000
7506,4268000
4280,1530000
3767,1500000
21202,1407200
20207,1211960
17229,1714600
8753,717000
14526,1863420
22775,1350000
20254,1105360
15702,1670000
9326,885500
13189,3307200
5378,905888
12416,2409000
15050,1411000
7240,1373000
20731,2523000
932,1260000
8382,860000
18373,1648000
3484,1433000
18957,835000
17629,1468159
1368,1145000
7590,1608503
4204,1550000
1547,1130000
10646,2062000
13816,1233540
19192,1350000
11123,1537000
13872,1374000
12781,1288000
7479,3534000
8545,858000
20200,1079830
13423,888000
10836,2819000
8825,1243000
1935,3089000
4899,1639998
17789,2430000
3991,1770000
3447,1396000
10777,1241000
1185,2229000
10280,2125000
8970,1747000
3021,2080000
9368,750000
10261,1162000
14891,849000
6211,1293000
4595,1318888
16175,2664000
19135,1830000
13048,1520000
23677,1020000
14264,1550000
9123,712000
9975,1994000
5142,4346160
4993,3180000
21058,2686000
2291,1113000
1216,1320000
20947,3201000
3603,2696760
13817,1291950
13402,1928000
22690,1600000
15659,1034000
1659,1680000
22843,976000
842,1563000
2977,1200000
7408,1500000
17095,863958
2091,2400000
11497,4322500
6367,1699000
3063,1528000
17557,1200339
9191,1109000
791,1353000
23662,1650000
2633,1280000
3297,1314000
7155,1023000
5521,2850000
6004,1687000
18824,1185600
4100,2400000
7926,1808000
16560,899797
20553,1454000
11503,7100000
10802,1655000
14,2800000
4778,1667520
2792,1746000
21753,5450000
14937,666000
10228,869000
5922,1626600
14741,965000
15583,1946550
16974,1135000
23519,2000000
20615,1370000
21803,1680000
98,1686700
2606,1120000
20388,950000
17011,1209381
21637,1680000
7038,847000
19893,694980
5,1880000
22931,858000
19381,2267720
5012,1639000
15400,1445000
5413,1480000
8803,1394000
461,1125000
14991,784000
11278,3070000
17878,1012000
18390,2250000
15813,2598394
1938,2673000
16978,1293387
9117,1474000
23228,2600000
4870,4611960
9831,1447000
22651,1287000
7975,2888000
17882,1072000
16595,1695751
20858,1329000
7704,6986183
19130,1672000
14814,1430000
5069,1762000
7222,1292000
17664,1645000
20726,1021000
13941,2820510
21262,931500
17989,2405000
19051,1280000
5465,912800
7511,2554200
7664,6157060
10175,1493500
568,3200000
12900,2484000
16481,1330800
17406,1107000
9501,1222000
10735,1229000
7181,1296000
14866,1210000
8046,3930000
16367,2218000
19806,1319490
2333,2500000
23547,1980000
9081,1417000
22573,1123595
2525,1250000
12928,2488000
14341,2120000
15362,1246000
6489,3308000
14148,868000
4454,1100000
10030,1209000
23000,998000
23207,1450000
17734,1624000
20048,724950
6733,964000
17219,922419
3892,1186000
2613,1860000
9238,1501000
20442,1187000
6935,791000
1575,1500000
22066,1670000
7988,1738000
13433,4650000
1583,2950000
17138,1164822
1520,1380000
1617,1700000
17673,1996830
22957,1000000
13738,3781800
17354,1243000
7621,1646915
15135,968000
5058,2408000
13719,1977030
2318,1089000
405,3900000
219,1691100
4123,2710000
19755,824800
10505,1189500
22881,2048000
8756,753000
2037,1350000
7947,1682151
1022,2145000
7434,2038000
14754,973000
266,1260000
13880,1907000
8861,707000
3827,2452000
14515,2311920
20483,1227000
1351,1615000
12105,1267000
4665,8710000
1263,1000000
15821,2350000
3584,2616875
5524,2990000
7913,2439825
7472,1675000
4723,2438000
23305,1850000
18065,941700
19350,1680000
4762,2182680
15232,1616000
22115,1168000
10885,1761000
10722,2619000
3517,1468000
16168,1538000
3833,1040000
19814,1330020
14353,2050000
4708,5544900
17080,1161668
3307,1409000
6291,1519000
21070,2058000
5440,1550000
9260,1775000
22824,1650000
12552,1280000
10959,1269000
12344,1543000
8950,1204000
18552,3697779
22378,2238000
15798,1866585
10611,1780500
17346,1043000
5088,4067980
10605,2149000
895,858000
12160,1489000
1225,1130000
13755,1680030
6408,1461000
10497,1535000
4754,1603410
17352,1231000
6955,1834000
6110,2690000
6761,1250000
11100,1270000
19081,1350000
10484,1189500
18055,1030000
4860,4200000
16191,1526000
6266,1382000
11888,1318000
3796,1600000
3904,1675000
22802,1720000
16507,835000
9466,834000
23374,1550000
22680,888000
19375,2725000
12858,2464000
16822,1100138
15080,1079000
7702,1635391
19312,2580000
10309,1730000
16161,1563000
2788,3357000
6268,1552000
1180,2143000
12976,5854000
61,1657000
12011,1308200
5422,1470000
14893,838000
1459,3510400
11238,1350000
5358,755000
23553,3150000
13501,4646070
13008,1572000
10354,1442000
7336,1361000
452,20000000
15274,1030000
16449,2257300
9778,1442000
1395,1240000
23221,2150000
3889,1104000
19560,1850000
596,1633000
5620,1827100
14455,2791000
10300,1832500
18366,2076000
5639,1338100
4849,1609000
3299,903000
16492,828000
21392,1752300
16933,868296
3032,2230000
22865,1280000
2094,1188000
22440,2089000
17145,859548
13461,1500000
3856,700000
4459,1288000
6601,935000
14126,990000
12981,1495000
1829,1745000
13551,1241460
12642,2254000
19953,1264000
5838,1689100
1484,1388200
6088,2480000
6911,1531000
19386,2441000
18652,1076900
21710,3500000
3647,2804390
4929,2178220
16504,1400000
16975,901844
7344,2122000
3831,2600000
16398,1800000
16420,5500000
16948,1138903
9616,1728000
6690,1811000
7055,882000
13377,1218000
13488,3880000
8660,1259000
27,2852170
9977,1478500
4147,2100000
805,1361000
12801,2212000
10404,2143000
17178,1417360
10104,1186000
9335,1213000
14206,2500000
21497,1876400
16801,1311744
13133,3167000
11604,1383000
11153,2192000
985,1724000
22531,2011000
20149,1593600
6583,1350000
19925,1393200
925,1455000
17007,1197103
1003,1229000
22582,1220603
8035,1671612
9640,806000
13563,1341450
19133,1806000
13222,2254000
14379,2452000
5349,4728936
13553,1335510
18121,1051000
19200,2230000
17328,1622100
2798,1746000
16273,1525000
22092,1290000
12341,2267000
22650,980000
5595,1022400
9639,806000
2324,8700000
8645,1168000
11521,1441000
18559,1994214
5441,1570000
19802,801600
9995,1462000
14324,2450000
7182,1383000
22341,1900000
5341,1250000
3730,1070000
9808,700000
23469,1213200
17753,1711000
15243,999000
11895,1179200
10454,1733000
14147,850000
8885,1203000
14458,2203000
4502,820000
3980,1750000
19510,1127000
2163,960000
10297,1071000
2896,2968000
6627,1917000
14331,2508000
14498,1711320
22621,2500000
17767,1651000
21320,1903400
1992,2240000
21022,2237000
3195,862000
18553,3381305
8115,1500000
23320,1920000
22324,1220000
464,1210000
16783,1153212
4369,905000
12326,1280000
4237,1632000
9239,1489000
20040,1425980
12868,2424000
22035,1288000
23495,1600000
23325,2200000
14015,1467000
794,1261000
22993,1008000
6886,1945000
14750,1360000
15330,1129000
11876,1039000
6661,1256000
10834,1461000
22948,800000
15888,1230000
18181,1986000
3042,1770000
1043,1340000
19519,1584000
11512,3422000
9868,2065000
21384,869200
11399,2350000
7386,1094000
14225,2030000
1844,2769000
4278,1650000
3835,1200000
3460,898000
11726,1446000
10376,1685500
5025,3118000
14681,2750000
9593,1146000
7331,1340000
5271,1568800
275,1390000
16454,2372140
2692,2938000
6322,920000
15316,1186000
15395,1999000
11256,3092000
3075,1070000
11155,1520800
7899,3890175
19804,1389960
10579,2036000
16791,1599381
10620,1203000
8746,1156000
21627,3396250
1886,2834000
8537,795000
6829,1205000
20151,1859760
9536,1173000
17661,1089000
4176,2480000
2236,1380000
2853,857000
7453,1368000
17124,852426
16834,1120254
11770,1415000
9985,1215000
9023,2470000
12566,1529000
13151,1341000
2453,1100000
4314,1840000
22367,1150000
8076,2880000
8552,714000
22897,1280000
8481,732000
17683,1738000
15617,1141000
16319,1980000
8585,1357000
20,3228150
11626,922000
11551,1425000
16466,2243440
5386,928000
18466,1930000
7723,2428470
16067,2393000
19537,1820000
14136,890000
5278,2260000
21707,1736800
5133,2587000
3055,1080000
863,1181000
871,1193000
13911,2903670
1508,3687000
11541,1319000
20725,1298000
21930,3070000
11741,1517000
18781,940700
13061,1556000
4124,2750000
12806,1466600
2466,1750000
4216,2220000
16720,911599
8877,1554000
7103,1265000
5375,720000
19506,1358000
5613,1376500
23473,893000
8866,1750000
1711,1598888
13966,4056030
17834,2938000
912,905000
4789,2150100
16534,1010000
12927,2568000
2899,1288000
4035,1730000
18866,3131000
14770,1400000
18741,1707100
4257,1370000
19938,1280000
20988,2663000
18569,1552000
12195,1498000
1254,2500000
22210,3975840
18605,953800
12980,1450000
2122,920000
2673,3100000
15393,1984000
6118,5120000
9708,1461000
19460,1603000
3611,1716000
13999,1433000
12624,2366000
12248,1190000
7066,1041000
337,6520000
17928,1218000
7890,1570000
19532,2450000
4004,1595000
19150,1508000
23626,1665000
19946,1303290
8915,735000
21805,11000000
7771,3155546
7017,1263000
14803,1420000
7261,2675000
19014,900000
11702,1458200
21329,1556044
1841,1995000
33,3307590
14767,1240000
11376,1540000
1076,2610000
8503,1468000
5399,1610000
14097,1248000
10545,2067000
18804,3109000
14096,1185000
5158,14850000
8271,1500000
12815,5532000
19904,610400
20920,1924000
5886,1529800
13199,3274000
5270,1528800
1745,1600000
17791,2895000
22162,2128888
5280,785000
10193,1448500
12749,2308000
1024,1222000
4718,3020000
14918,1013000
21297,1781400
3257,1795000
8632,1267000
15082,1077000
21859,2600000
12263,2845000
3743,2713700
7471,1900000
19897,781560
11977,1113000
22297,6700000
10436,2735000
6813,1258000
11769,1359000
6821,1326000
7440,1580000
17169,904915
23490,743000
21461,983600
19042,2300000
2357,5280000
4664,5516400
17092,1586301
8376,888000
15329,1004000
5707,1285400
16242,8200000
16563,892120
7176,1307000
13263,1729000
20425,765000
2124,1022000
12827,2468000
5659,1355300
19703,677970
3976,1270000
732,1182000
15215,1133000
5196,1580000
3763,1570000
79,2037800
4561,1408000
2331,3200000
4506,900000
333,3438000
10993,2249000
18442,1388000
15606,1197000
22967,900000
17212,1642933
9075,1102000
17875,1583000
16332,2000000
23488,1300000
6834,1316000
13176,5368000
18377,2381000
6177,1556000
6247,813000
12690,8546000
12953,1331000
4289,1450000
16089,3835000
5400,1420000
214,1663000
17191,1656832
20460,1637000
4801,2026660
18602,972600
3154,855000
106,1665200
12409,1603000
16592,1709651
3404,1500000
7716,1860000
16055,2517000
22024,640000
10274,1144000
6525,2128000
17716,3017000
6387,1213000
18550,3439270
23608,1750000
2976,1740000
1528,1575000
22994,1500000
965,1478000
17620,1691000
12273,1513000
9854,2020000
455,22800000
20805,2893000
7053,1924000
17769,1594000
18980,2150000
10445,2686000
9286,1499000
12952,1432000
17181,1638300
20154,723240
15209,1316000
21140,3014000
17299,1078000
12398,1965000
10389,1206000
11418,1270000
18294,1768000
18549,2942325
19536,1680000
3646,1798960
13800,1558260
21010,1237000
173,1580800
17176,1409980
19684,1128330
8527,1483000
8511,1394000
11805,1721000
21821,1440000
1526,1470000
8591,787000
20557,1481000
749,1304000
611,1061000
8052,3950000
15835,1490000
19937,809600
17261,2135000
10341,1207500
9806,1067000
5175,1530000
13290,943000
9387,861000
14654,2080000
7836,1591217
2030,3620000
14560,2235480
11915,1066000
23303,2435000
4052,1500000
348,3088000
21823,2150000
9294,1153000
18934,880000
21903,3850000
23308,2020000
3736,1958000
14159,1106800
15370,2016000
16930,1160862
1562,2920000
19006,2150000
5623,2218500
21120,1174000
15026,794000
10353,1442000
2755,2462000
3212,1332000
7401,2060000
21139,2650000
15292,1160000
19564,1580000
11428,1400000
4721,3735000
8835,1226000
16064,1894000
5965,1122100
8254,1950000
15130,1025000
14108,1638000
19892,833600
4096,2200000
6459,1757000
19996,1832700
1565,1820000
18356,1051000
7711,2330000
15869,2336000
9555,1417000
18565,1228040
13005,5744000
16088,3744000
12364,1190000
22046,715000
19159,2168000
18174,2018000
7276,2583000
11291,3145000
10365,1456000
18970,900000
10148,1047000
18815,1228923
22631,2268888
9723,727000
17710,980000
18506,1195000
9613,2078000
7463,1408000
11149,2767000
4422,805000
13356,878000
2679,18475512
17544,1634000
23505,21000000
19533,3150000
20099,1683990
18868,3142200
1521,1570000
10987,2161000
11107,1518000
5030,2333112
5011,5651000
13855,1455300
3591,1404225
21033,3565000
3905,1220000
2446,990000
7720,5444610
18886,1616000
13471,1386000
14179,3200000
23023,1700000
9416,2480000
7092,1701000
14412,1910000
2056,1550000
23231,3688000
2304,1050000
17116,856738
4553,853000
15382,1720000
11527,882000
15750,2366888
8387,880000
17810,998890
23031,4630000
13677,1277100
5346,1300000
641,1291000
9091,1773000
5361,1688000
4427,775000
17583,1103000
1896,1653000
19257,1220000
12348,1495000
4429,1190000
13818,1311750
17852,1654000
3774,1320000
15719,1523000
216,1716500
17316,972000
5291,2550000
4221,2430000
18176,2394000
21185,658000
1615,1910000
19949,1602990
3973,1740000
5860,1361800
11937,1588400
19326,2200000
9790,1442000
22200,845000
19992,1234400
1803,2471000
21370,1593480
22482,1073000
19277,1920000
1561,1610000
14857,1250000
19784,915120
10596,1271000
12408,2058000
9924,1723000
15868,1742000
8135,1288000
772,1231000
10289,1146000
11947,1422000
3597,1996000
394,3980000
14464,2123000
3427,1094000
4402,785000
4948,2318000
5125,4519000
21926,2890000
20427,770000
20685,1381000
20007,1268240
14076,1250000
18013,1561000
5717,2177800
2029,2830000
19993,1369710
23516,2590000
2057,1430000
14008,2097000
23219,2200000
15705,968000
7562,3838000
23154,4220000
21629,1783320
23355,1325000
22146,1350000
15619,1057000
494,3290240
15494,1080000
2816,1674000
8938,1497000
20577,2670000
15059,943000
15557,1650000
4098,2230000
7501,2852770
22727,710000
9646,2459000
22447,1244000
23390,2310000
21394,1804572
2288,1115000
12049,2044000
1408,1250000
18111,1030000
14363,1200000
8153,2000000
17986,1335300
8204,1288000
13604,1373130
21150,2077000
14411,1880000
15017,1128000
19031,1410000
3678,2050050
5681,1871700
14983,706000
7962,1648835
23371,1520000
7854,2536380
14853,2828000
1399,1990000
16114,3804000
13810,1519650
11592,1391000
506,3400000
18159,1651000
18081,1196500
15722,1563000
20148,886140
10043,1697000
23316,1970000
8108,1865000
2473,1545000
6349,1461000
4592,1400000
11742,1396000
1922,2300000
23548,1798888
10049,752000
9666,1465000
7161,1107000
23688,1115888
7897,1550000
23188,5300000
6260,829000
8142,1488888
4589,935000
12050,984000
14840,1745000
13590,1646370
8966,1152000
18392,2170000
13617,5626170
4130,1250000
14111,1838000
19210,2385000
1217,1100000
6827,1229000
961,1573000
20757,1718000
9232,1208000
2391,1045000
279,1032000
1954,2886000
6321,1449000
6055,1714000
1740,1850000
23011,1025000
16636,1195197
8649,1738000
10863,2111000
5962,1626600
16849,1191141
15603,1654000
1345,1320000
63,2374800
23195,2190000
20209,1853200
3029,1490000
16126,992000
10402,2514000
21756,2953000
3192,913000
19608,1020000
11050,1285000
1454,1278300
21065,1196000
9492,1445000
2598,1735000
18738,1710900
8824,1116000
1817,2158000
14507,1370000
8253,2650000
23457,1800000
8097,1720000
3098,1590000
16537,1008000
3446,1367000
12111,2264000
9584,2216000
18393,2200000
6822,1725000
633,1283000
11378,1620000
10115,1206000
6961,928000
10999,2133000
7080,1561000
3132,1350000
15427,2087000
2940,2550000
11097,2241000
1032,1393000
15690,1467000
6804,1373000
21459,1490972
11230,2685000
20667,1286000
679,1224000
21412,1633700
4169,6300000
11869,932000
8599,720000
17390,996000
12725,1238000
21944,1385300
4122,2725000
9815,2783888
9787,1157000
12381,1573000
9745,866000
8140,2600000
170,2310200
2882,938000
3205,1302000
17798,1090800
11728,2175000
17776,986770
16423,5500000
1033,1231000
10709,2890000
17329,949800
1385,3618000
1295,1050000
8875,1057000
11170,2665000
20582,1720000
14564,2393336
19165,3480000
19800,1589600
17439,1624000
13720,1230570
7360,1278000
8871,853000
14481,1100000
1497,2178700
19632,1020000
8992,1759000
747,1317000
19980,1201300
5981,2075900
19509,965150
2206,1500000
3056,1665000
14193,6250000
15529,1788888
590,1489000
15199,1987000
7508,5928715
14224,2550000
19199,2380000
1491,2145000
6569,1352000
13340,1285000
14649,2308000
16700,1296453
7089,1293000
5265,1767780
13554,1286010
9154,1073000
3136,1090000
9262,1481000
8722,1734000
17814,2031000
7556,6974660
15923,1220000
8379,915000
3325,845000
5803,1194100
13430,1160000
13842,1709730
4316,1175000
4674,3660700
16997,1291246
8968,1455000
9982,1844500
16487,1488800
4682,5636900
12268,2772000
3360,897000
16116,2680000
7202,1346000
4764,5619675
20031,1123400
21434,1676388
16760,1118368
13022,1366000
824,1078000
23433,1520000
21527,940000
13229,5664000
1612,1270000
20978,2716000
18183,1944000
17147,1981890
20050,638400
1451,1423400
4876,2330700
1513,1220000
2675,2800000
11202,3065000
9717,1422000
6608,1253000
5089,4430000
11216,2700000
22558,1288000
8713,2179000
14813,1120000
2256,1100000
1744,2918300
21377,1695694
4862,2184000
15204,1400000
811,1239000
868,1212000
19083,1600000
17931,1218609
9734,1366000
20897,1114000
11963,1389000
3280,847000
21425,2163154
15645,1402000
8785,1148000
17185,1607720
8596,1458000
20634,1336000
22949,800000
12619,1522000
3504,960000
3524,1366000
15361,1135000
9210,868000
15439,1720000
5420,1310000
6724,1598000
18801,1642000
5079,5210000
21408,1470196
2558,1250000
22673,1200000
10036,1497500
16759,1131986
16886,996257
11818,1927000
23108,4080000
21159,550000
14285,1680000
11887,1559000
8520,726000
14915,1915000
11342,2280000
7319,1476000
19815,1040040
5294,810000
4473,1525000
13253,2256000
14112,1295000
15053,1506000
22269,6755760
9935,862000
22167,1900000
22520,1768000
2016,2950000
12534,1341000
21975,920000
3605,1916738
11771,1268000
15436,1470000
9452,1702000
4604,2000000
6147,1453000
14307,1439000
16095,2513000
19347,6100000
12054,1094000
131,1746600
23579,1700000
4643,1340000
12519,1545000
497,3320000
10528,1203500
19832,871200
4826,1539600
6174,917000
16295,1800000
17802,989000
18674,1216859
13470,1550000
19791,1594080
16796,1144757
22209,6428570
9395,1348000
6324,1281000
10393,1169000
9771,1417000
10252,2010000
10621,2047000
14514,2214420
19639,3670000
19750,650400
11548,1089000
12431,2409000
15875,1212000
15468,1650000
12680,1659000
11337,2130000
17995,1216300
7541,1847340
763,1365000
22184,1580000
5924,1782500
18672,2004000
13063,1591000
5066,5020000
6840,1004000
7594,2985000
11793,1409000
2769,3304000
22919,1650000
1953,3888000
16697,1351528
20514,1620000
19041,1860000
11576,2047000
8507,1127000
16026,1737000
4120,3400000
17163,911057
13484,1458890
14851,2280000
9086,745000
23606,1760000
4908,3393400
9573,1188000
605,1020000
15,3207910
14099,1210000
6412,1427000
22483,1155000
9756,2770000
5766,1335500
3049,1900000
7728,5700000
3952,10584600
309,6100000
9675,748000
9445,1386000
17529,1006970
1149,1663000
18719,1155000
2517,1280000
13219,2290000
22658,615000
2128,1880000
702,934000
15101,1240000
4866,2502995
3674,2928000
3842,928000
11974,1308000
19667,1359920
1111,2242000
19450,1803000
20765,1339000
11201,3065000
15912,1626000
637,1267000
8440,700000
2406,1075000
11063,1226000
12044,1616000
6746,1635000
8888,973500
9814,1472000
13317,1960000
16289,1400000
9981,1844500
2228,950000
11724,1332000
15844,1450000
14187,3000000
5612,1510700
21490,1112400
5455,18400000
7879,3881533
7686,1790000
70,2444500
7878,4459000
5768,1158100
1178,2539000
16050,1208000
16826,1103281
21083,2191000
10083,1781500
14371,11200000
2010,2338000
11060,2152000
18391,2300000
17267,2012000
10190,1186000
17401,2007000
1902,1749000
10281,1105000
22509,2036000
23057,2875000
3759,1610000
17483,965000
6047,1662000
23651,1250000
2957,1380000
20808,1332000
16570,1426394
13242,1678400
21439,1300959
6907,1084000
9751,1371000
15197,1500000
12437,1190000
7078,1534000
9114,710000
944,1092000
15290,1164000
11783,1406000
8890,1454500
17402,2954000
17509,1174059
12053,2245000
13291,913000
8062,2550000
16579,1218309
14322,1350000
9674,1171000
8559,715000
12988,5950000
17510,1712880
9396,1348000
16206,2060000
1152,2395000
12621,1537000
10927,2050000
4313,1500000
6274,2363000
21794,1335000
9352,1190000
18329,2150000
22450,1075000
10204,1197000
10807,1788000
6787,934000
2474,1860000
6765,1077000
2945,1798000
9285,1499000
3188,1801000
14018,1405000
11327,1510500
19308,2270000
19240,1220000
184,2488800
10074,1760000
17121,835176
13870,3017000
21476,1405124
16425,9978900
14843,1680000
21354,1197100
15794,2615888
20024,644000
18727,3772490
8784,1211000
22721,1680000
21920,1780000
6018,1896000
1028,1218000
14778,915000
8463,1147000
3925,1685000
5777,1420300
21300,989400
8730,1194000
5562,23000000
15832,880000
1360,1580000
5950,1536300
9143,1163000
21960,1823800
4905,3230000
6656,1241000
2341,1500000
17441,1742000
13583,1628550
12606,1602000
10502,1171500
528,2988000
2369,1350000
8287,1510000
13707,1462230
2631,1225000
18620,926100
13259,1286000
22331,788000
23506,21000000
12395,1917000
303,3200000
4162,11200000
15969,1561000
15381,1870000
4536,1260000
4597,940000
12745,2800000
1487,2028400
465,1650000
14077,1260000
9389,1049000
22015,680000
4209,1300000
14068,1268800
7422,1660000
5123,2475000
16556,893655
19139,1810000
11811,1480000
14137,1010000
23047,1830000
15496,1300000
10723,2620000
20349,982400
15878,1222000
11263,3120000
17009,1207335
2320,1280000
14454,2410000
2019,2480000
12631,2336000
567,5030000
17940,939000
3510,1796000
21883,2655000
4486,1320000
1945,1820600
23017,1050000
14988,1003000
7487,3500000
14161,968000
19930,1731840
5807,1435100
2570,1950000
8914,1218000
11909,1208000
13066,1571000
15190,1216000
6263,1879000
12897,2544000
2306,1190000
13607,1385010
20158,920860
21009,2005000
7762,2803116
3283,1196000
18038,927498
1138,2672000
13369,998000
16329,1138000
11056,2277000
8302,1640000
17132,1168784
7803,1644034
7514,1849000
16323,1610000
12072,1213000
17150,1212165
158,2558400
10644,1554000
21450,1691872
15465,1945000
23168,17000000
2060,1538000
881,1163000
20343,2020800
17588,1095000
4959,5346000
7050,1197000
4883,2790180
15237,1413000
11802,1057000
6762,1277000
6615,817000
19367,2580000
4802,2069430
16307,1546000
6299,966000
16155,1960200
16860,1200339
6505,907000
8600,720000
21509,1000000
13580,1758240
7749,4017000
2058,1400000
19547,2330000
17231,1057000
8850,1173000
23372,1425000
7075,1307000
11557,1275000
18834,1150300
14919,989000
6339,1550000
18519,1200000
5821,1349200
8619,730000
4716,5428000
2215,1030000
6994,995000
9839,2126000
1482,1552000
10527,1203500
16950,1212880
12469,1243000
6632,1075000
11134,2060000
5444,1780000
20043,1658340
14236,6730000
18720,1083600
15666,1034000
8561,2175000
2548,1800000
642,1303000
18665,1277200
14540,3339960
3469,914000
11043,1456000
15314,978000
142,2158300
2398,1050000
4064,1450000
4781,1661610
1858,2156000
20523,1630000
6579,1253000
3723,1120000
1400,1770000
3355,877000
521,3428000
7859,1724699
4030,1600000
20680,1448000
23020,2100000
13672,1199880
21475,1352600
12959,1311000
13349,1308000
9249,1168000
22487,1137000
11307,3035000
15318,709520
18114,1039000
872,1187000
9630,2558000
19219,2390000
6658,1285000
16357,1628000
4231,1563000
16775,1028440
306,6368000
11838,1440000
12567,1720000
15181,1538000
21045,1182000
16947,1140854
14265,1680000
5181,1530000
19482,1038000
16038,1878000
1924,2339000
19412,1399000
14284,1970000
11942,1533000
23441,1480000
6208,1443000
9543,1543000
13421,898000
5161,1730000
16261,1380000
9058,1453000
5819,1296000
17333,969900
4301,1290000
21864,1730000
10641,2202000
16628,1208404
5936,1596900
